GPS1,GPS2,Species,Group,Time,General Location,Comments 
205847,62198,Redtails,KASEMBO,NA,MUBFS (Balanites Trees),
205925,62162,Redtails,KASEMBO,NA,W/Bbn Trail ,
205925,62162,Redtails,KASEMBO,NA,W/Bbn Trail ,
205925,62162,Redtails,KASEMBO,NA,W/Bbn Trail ,
205831,62067,Redtails,KASEMBO,NA,MUBFS Dormestories ,
205831,62067,Redtails,KASEMBO,NA,Behind white houses latrine ,
205831,62067,Redtails,KASEMBO,NA,Behind white houses latrine ,
205831,62067,Redtails,KASEMBO,NA,Behind white houses latrine ,
205801,62027,Redtails,KASEMBO,NA,LOC: White house ,
205801,62027,Redtails,KASEMBO,NA,LOC: White house ,
205801,62027,Redtails,KASEMBO,NA,LOC: White house ,
205838,62054,Redtails,KASEMBO,NA,MUBFS DOM,
205838,62054,Redtails,KASEMBO,NA,MUBFS DOM,
205838,62054,Redtails,KASEMBO,NA,MUBFS DOM,
205838,62054,Redtails,KASEMBO,NA,LOC White house ,Back to group found
205838,62054,Redtails,KASEMBO,NA,LOC White house ,
205838,62054,Redtails,KASEMBO,NA,LOC White house ,
205838,62054,Redtails,KASEMBO,NA,LOC White house ,
205838,62054,Redtails,KASEMBO,NA,LOC White house ,
205838,62054,Redtails,KASEMBO,NA,LOC White house ,
205826,62065,Redtails,KASEMBO,NA,MUBFS ,Group found
205826,62065,Redtails,KASEMBO,NA,MUBFS ,
205826,62065,Redtails,KASEMBO,NA,MUBFS ,
205826,62065,Redtails,KASEMBO,NA,MUBFS ,
205826,62065,Redtails,KASEMBO,NA,MUBFS ,
205826,62065,Redtails,KASEMBO,NA,MUBFS ,
205867,61974,Redtails,KASEMBO,NA,Baboon trail/ Tanks,
205867,61974,Redtails,KASEMBO,NA,Baboon trail/ MUBFS Tanks,Same Location 
205867,61974,Redtails,KASEMBO,NA,Baboon trail/ MUBFS Tanks,
205867,61974,Redtails,KASEMBO,NA,Baboon trail/ MUBFS Tanks,
205867,61974,Redtails,KASEMBO,NA,Baboon trail/ MUBFS Tanks,
205867,61974,Redtails,KASEMBO,NA,Baboon trail/ MUBFS Tanks,
205885,62075,Redtails,KASEMBO,NA,Bhd MUBFS dorms ,
205885,62075,Redtails,KASEMBO,NA,Bhd MUBFS dorms ,
205885,62075,Redtails,KASEMBO,NA,Bhd MUBFS dorms ,
205885,62075,Redtails,KASEMBO,NA,Bhd MUBFS dorms ,
205960,62024,Redtails,KASEMBO,NA,Z/1,
205960,62024,Redtails,KASEMBO,NA,Z/1,GPS Satellites failed 
206035,62104,Redtails,KASEMBO,NA,Z/ Blaze,
206035,62104,Redtails,KASEMBO,NA,Z/ Blaze,
206035,62104,Redtails,KASEMBO,NA,Z/ Blaze,
206035,62104,Redtails,KASEMBO,NA,Z/ Blaze,
206035,62104,Redtails,KASEMBO,NA,Z/ Blaze,
206035,62104,Redtails,KASEMBO,NA,Z/ Blaze,
205952,62113,Redtails,KASEMBO,NA,Z/ extenstion ,Group found in same location and stayed in same location 
205952,62113,Redtails,KASEMBO,NA,Z/ extenstion ,
205952,62113,Redtails,KASEMBO,NA,Z/ extenstion ,
205952,62113,Redtails,KASEMBO,NA,Z/ extenstion ,
205952,62113,Redtails,KASEMBO,NA,Z/ extenstion ,
205952,62113,Redtails,KASEMBO,NA,Z/ extenstion ,
205952,62113,Redtails,KASEMBO,NA,Z/ extenstion ,
205952,62113,Redtails,KASEMBO,NA,Z/ extenstion ,
205952,62113,Redtails,KASEMBO,NA,Z/ extenstion ,
205952,62113,Redtails,KASEMBO,NA,Z/ extenstion ,
205952,62113,Redtails,KASEMBO,NA,Z/ extenstion ,
205952,62113,Redtails,KASEMBO,NA,Z/ extenstion ,
205831,62618,Black and whites,Camp,NA,Logged area behind KCP,
205831,62618,Black and whites,,NA,Logged area behind KCP,
205831,62618,Black and whites,,NA,Logged area behind KCP,
205717,62490,Black and whites,,NA,Logged area behind KCP,
205717,62490,Black and whites,,NA,Logged area behind KCP,
205717,62490,Black and whites,,NA,Logged area behind KCP,
205717,62490,Black and whites,,NA,Logged area behind KCP,
205717,62490,Black and whites,,NA,Logged area behind KCP,
205717,62490,Black and whites,,NA,Logged area behind KCP,
205717,62490,Black and whites,,NA,Logged area behind KCP,
205717,62490,Black and whites,,NA,Logged area behind KCP,
205717,62490,Black and whites,,NA,Logged area behind KCP,
205793,62528,Black and whites,Camp,NA,Behind basuta's house,
205793,62528,Black and whites,,NA,Behind basuta's house,
205793,62528,Black and whites,,NA,Behind basuta's house,
205793,62528,Black and whites,,NA,Behind basuta's house,
205727,62364,Black and whites,,NA,middle camp/karambi rd.,
205727,62364,Black and whites,,NA,middle camp/karambi rd.,
205727,62364,Black and whites,,NA,middle camp/karambi rd.,
205727,62364,Black and whites,,NA,middle camp/karambi rd.,
205727,62364,Black and whites,,NA,middle camp/karambi rd.,
205727,62364,Black and whites,,NA,middle camp/karambi rd.,
205727,62364,Black and whites,,NA,middle camp/karambi rd.,
205727,62364,Black and whites,,NA,middle camp/karambi rd.,
205772,62349,Black and whites,Camp,NA,Trail 3/middle camp,
205772,62349,Black and whites,,NA,Trail 3/middle camp,
205772,62349,Black and whites,,NA,Trail 3/middle camp,
205772,62349,Black and whites,,NA,Trail 3/middle camp,
205772,62349,Black and whites,,NA,Trail 3/middle camp,
205772,62349,Black and whites,,NA,Trail 3/middle camp,
205772,62349,Black and whites,,NA,Trail 3/middle camp,
205772,62349,Black and whites,,NA,Trail 3/middle camp,
205833,62444,Black and whites,,NA,Trail 4,
205833,62444,Black and whites,,NA,Trail 4,
205833,62444,Black and whites,,NA,Trail 4,
205833,62444,Black and whites,,NA,Trail 4,
205752,62475,Black and whites,,NA,Basuta's house,
205444,62484,Black and whites,Camp,NA,Basuta's house,
205444,62484,Black and whites,,NA,Basuta's house,
205444,62484,Black and whites,,NA,Basuta's house,
205444,62484,Black and whites,,NA,Basuta's house,
205444,62484,Black and whites,,NA,Basuta's house,
205702,62435,Black and whites,,NA,Road to Patrick's house,
205702,62435,Black and whites,,NA,Road to Patrick's house,
205702,62435,Black and whites,,NA,Road to Patrick's house,
205702,62435,Black and whites,,NA,Road to Patrick's house,
205702,62435,Black and whites,,NA,Road to Patrick's house,
205444,62484,Black and whites,,NA,Basuta's house,
205444,62484,Black and whites,,NA,Basuta's house,
205444,62484,Black and whites,,NA,Basuta's house,
205822,62262,Black and whites,ZUK,NA,R Extension/Blaze,
205822,62262,Black and whites,,NA,R Extension/Blaze,
205822,62262,Black and whites,,NA,R Extension/Blaze,
205790,62308,Black and whites,,NA,Blaze trail,
205790,62308,Black and whites,,NA,Blaze trail,
205790,62308,Black and whites,,NA,Blaze trail,
205790,62308,Black and whites,,NA,Blaze trail,
205790,62308,Black and whites,,NA,Blaze trail,
205790,62308,Black and whites,,NA,Blaze trail,
205790,62308,Black and whites,,NA,Blaze trail,
205790,62308,Black and whites,,NA,Blaze trail,
205790,62308,Black and whites,,NA,Blaze trail,
205790,62308,Black and whites,,NA,Blaze trail,
205770,62257,Black and whites,ZUK,NA,Blaze trail,
205770,62257,Black and whites,,NA,Blaze trail,
205770,62257,Black and whites,,NA,Blaze trail,
205770,62257,Black and whites,,NA,Blaze trail,
205770,62257,Black and whites,,NA,Blaze trail,
205770,62257,Black and whites,,NA,Blaze trail,
205770,62257,Black and whites,,NA,Blaze trail,
205770,62257,Black and whites,,NA,Blaze trail,
205780,62080,Black and whites,,NA,MUBFS laboratory,
205780,62080,Black and whites,,NA,MUBFS laboratory,
205744,62040,Black and whites,,NA,In front of open house,
205842,62076,Black and whites,,NA,Near MUBFS last dorm,
205842,62076,Black and whites,,NA,Near MUBFS last dorm,
205859,62050,Black and whites,ZUK,NA,Behind MUBFS dorms,
205859,62050,Black and whites,,NA,Behind MUBFS dorms,
205859,62050,Black and whites,,NA,Behind MUBFS dorms,
205859,62050,Black and whites,,NA,Behind MUBFS dorms,
205859,62050,Black and whites,,NA,Behind MUBFS dorms,
205859,62050,Black and whites,,NA,Behind MUBFS dorms,
205848,61982,Black and whites,,NA,logged area behind trail,
205848,61982,Black and whites,,NA,logged area behind trail,
205848,61982,Black and whites,,NA,logged area behind trail,
205848,61982,Black and whites,,NA,logged area behind trail,
205848,61982,Black and whites,,NA,logged area behind trail,
205908,61941,Black and whites,,NA,logged area btwn Z & F Trail,
205848,62021,Black and whites,KSB,NA,MUBFS tank,
205815,61962,Black and whites,,NA,Logged/ F,
205815,61962,Black and whites,,NA,Logged/ F,
205815,61962,Black and whites,,NA,Logged/ F,
205815,61962,Black and whites,,NA,Logged/ F,
205815,61962,Black and whites,,NA,Logged/ F,
205815,61962,Black and whites,,NA,Logged/ F,
205815,61962,Black and whites,,NA,Logged/ F,
205815,61962,Black and whites,,NA,Logged/ F,
205848,62021,Black and whites,,NA,MUBFS tank,
205848,62021,Black and whites,,NA,MUBFS tank,
205785,62079,Black and whites,,NA,MUBFS dorm,
205785,62079,Black and whites,,NA,MUBFS dorm,
205710,62078,Black and whites,KSB,NA,MUBFS Lab ,GPS 1 probably wrong
205710,62078,Black and whites,,NA,MUBFS Lab ,
205710,62078,Black and whites,,NA,MUBFS Lab ,
205710,62078,Black and whites,,NA,MUBFS Lab ,
205710,62078,Black and whites,,NA,MUBFS Lab ,
205710,62078,Black and whites,,NA,MUBFS Lab ,
205710,62078,Black and whites,,NA,MUBFS Lab ,
205710,62078,Black and whites,,NA,MUBFS Lab ,
205710,62078,Black and whites,,NA,MUBFS Lab ,
205710,62078,Black and whites,,NA,MUBFS Lab ,
205710,62078,Black and whites,,NA,MUBFS Lab ,
205710,62078,Black and whites,,NA,MUBFS Lab ,
205710,62078,Black and whites,,NA,MUBFS Lab ,same place all day
205866,62026,Black and whites,KSB,NA,MUBFS Tank,
205866,62026,Black and whites,,NA,MUBFS Tank,
205796,62008,Black and whites,,NA,White house,
205796,62008,Black and whites,,NA,White house,
205796,62008,Black and whites,,NA,White house,
205796,62008,Black and whites,,NA,White house,
205750,62032,Black and whites,,NA,MUBFS compound,
205750,62032,Black and whites,,NA,MUBFS compound,
205750,62032,Black and whites,,NA,MUBFS compound,
205714,61987,Black and whites,,NA,OPP museum,
205714,61987,Black and whites,,NA,OPP museum,
205714,61987,Black and whites,,NA,OPP museum,
205714,61987,Black and whites,,NA,Botanical,
205642,62010,Black and whites,KSB,NA,Botanical Gardens ,
205642,62010,Black and whites,,NA,Botanical Gardens ,
205642,62010,Black and whites,,NA,Botanical Gardens ,
205642,62010,Black and whites,,NA,Botanical Gardens ,
205642,62010,Black and whites,,NA,Botanical Gardens ,
205642,62010,Black and whites,,NA,Botanical Gardens ,
205642,62010,Black and whites,,NA,Botanical Gardens ,
205642,62010,Black and whites,,NA,Botanical Gardens ,
